NAME,median_household_income,median_gross_rent,median_home_value,total_pop,white_nonhispanic,black_nonhispanic,hispanic_latino,state,county,tract,year,GEOID,boundary_vintage,cpi,inflation_factor,real_median_household_income,real_median_gross_rent,real_median_home_value
"Census Tract 154, Denver County, Colorado",53512.0,1048.0,225600.0,4301.0,2311.0,114.0,1442.0,08,031,015400,2011,08031015400,2010_tracts,224.93916666666667,1.30104028126123,69621.26753085095,1363.490214761769,293514.6874525335
"Census Tract 155, Denver County, Colorado",27865.0,747.0,230100.0,3706.0,1938.0,403.0,1145.0,08,031,015500,2011,08031015500,2010_tracts,224.93916666666667,1.30104028126123,36253.48743734418,971.8770901021388,299369.36871820904
"Census Tract 156, Denver County, Colorado",30076.0,644.0,169600.0,6134.0,1578.0,190.0,3904.0,08,031,015600,2011,08031015600,2010_tracts,224.93916666666667,1.30104028126123,39130.08749921276,837.8699411322322,220656.43170190463
"Census Tract 157, Denver County, Colorado",45444.0,836.0,228500.0,6827.0,2221.0,57.0,4175.0,08,031,015700,2011,08031015700,2010_tracts,224.93916666666667,1.30104028126123,59124.47454163534,1087.6696751343884,297287.70426819107
"Census Tract 9800, Denver County, Colorado",41552.0,1050.0,146100.0,1205.0,393.0,600.0,148.0,08,031,980000,2011,08031980000,2010_tracts,224.93916666666667,1.30104028126123,54060.825766966635,1366.0922953242916,190081.9850922657
"Census Tract 9801, Denver County, Colorado",,,,0.0,0.0,0.0,0.0,08,031,980100,2011,08031980100,2010_tracts,224.93916666666667,1.30104028126123,,,
"Census Tract 83.04, Denver County, Colorado",43571.0,1405.0,159600.0,3096.0,376.0,874.0,1807.0,08,031,008304,2011,08031008304,2010_tracts,224.93916666666667,1.30104028126123,56687.62609483305,1827.9615951720282,207646.02888929233
"Census Tract 2.01, Denver County, Colorado",43375.0,975.0,172900.0,3933.0,1452.0,15.0,2295.0,08,031,000201,2011,08031000201,2010_tracts,224.93916666666667,1.30104028126123,56432.62219970585,1268.5142742296994,224949.86463006667
"Census Tract 36.01, Denver County, Colorado",34212.0,725.0,159800.0,4619.0,1125.0,665.0,2739.0,08,031,003601,2011,08031003601,2010_tracts,224.93916666666667,1.30104028126123,44511.1901025092,943.2542039143918,207906.23694554457
"Census Tract 37.01, Denver County, Colorado",62960.0,743.0,341900.0,2455.0,1792.0,233.0,289.0,08,031,003701,2011,08031003701,2010_tracts,224.93916666666667,1.30104028126123,81913.49610820705,966.672928977094,444825.67216321453
"Census Tract 37.02, Denver County, Colorado",43534.0,739.0,339600.0,4520.0,3628.0,154.0,516.0,08,031,003702,2011,08031003702,2010_tracts,224.93916666666667,1.30104028126123,56639.48760442639,961.468767852049,441833.27951631375
"Census Tract 43.04, Denver County, Colorado",80000.0,1117.0,345000.0,5689.0,4282.0,422.0,738.0,08,031,004304,2011,08031004304,2010_tracts,224.93916666666667,1.30104028126123,104083.22250089841,1453.261994168794,448858.89703512436
"Census Tract 50.01, Denver County, Colorado",50233.0,1097.0,213300.0,2207.0,1777.0,253.0,91.0,08,031,005001,2011,08031005001,2010_tracts,224.93916666666667,1.30104028126123,65355.15644859537,1427.2411885435695,277511.89199302037
"Census Tract 55.03, Denver County, Colorado",57546.0,771.0,229200.0,4480.0,2809.0,35.0,1287.0,08,031,005503,2011,08031005503,2010_tracts,224.93916666666667,1.30104028126123,74869.66402545874,1003.1020568524084,298198.43246507394
"Census Tract 68.14, Denver County, Colorado",46516.0,791.0,242800.0,4429.0,2570.0,361.0,1131.0,08,031,006814,2011,08031006814,2010_tracts,224.93916666666667,1.30104028126123,60519.18972314738,1029.122862477633,315892.5802902267
"Census Tract 70.06, Denver County, Colorado",27341.0,742.0,,4242.0,1402.0,590.0,1483.0,08,031,007006,2011,08031007006,2010_tracts,224.93916666666667,1.30104028126123,35571.742329963294,965.3718886958327,
"Census Tract 26.02, Denver County, Colorado",49316.0,1040.0,326500.0,2309.0,1855.0,184.0,112.0,08,031,002602,2011,08031002602,2010_tracts,224.93916666666667,1.30104028126123,64162.10251067882,1353.0818925116794,424789.6518317916
"Census Tract 27.01, Denver County, Colorado",31357.0,680.0,188200.0,4391.0,3096.0,100.0,857.0,08,031,002701,2011,08031002701,2010_tracts,224.93916666666667,1.30104028126123,40796.72009950839,884.7073912576365,244855.7809333635
"Census Tract 2.02, Denver County, Colorado",51163.0,782.0,226400.0,3901.0,1356.0,64.0,2405.0,08,031,000202,2011,08031000202,2010_tracts,224.93916666666667,1.30104028126123,66565.12391016832,1017.413499946282,294555.5196775425
"Census Tract 5.02, Denver County, Colorado",43391.0,600.0,291700.0,5052.0,2861.0,85.0,1861.0,08,031,000502,2011,08031000502,2010_tracts,224.93916666666667,1.30104028126123,56453.43884420603,780.6241687567381,379513.4500439008
